NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE,LINES
_NDP_custom-call.464_0,1179648,2,1,1,64703,8
_NDP_custom-call.465_0,1179648,2,1,1,62606,8
_NDP_custom-call.466_0,1179648,2,1,1,62816,8
_NDP_custom-call.467_0,1179648,2,1,1,63314,8
_NDP_custom-call.468_0,1179648,2,1,1,62840,8
_NDP_custom-call.469_0,1179648,2,1,1,62909,8
_NDP_custom-call.470_0,1179648,2,1,1,63199,8
_NDP_custom-call.471_0,1179648,2,1,1,62779,8
_NDP_custom-call.472_0,1179648,2,1,1,62956,8
_NDP_custom-call.473_0,1179648,2,1,1,64734,8
_NDP_custom-call.474_0,1179648,2,1,1,64600,8
_NDP_custom-call.475_0,1179648,2,1,1,64848,8
_NDP_custom-call.476_0,1179648,2,1,1,64727,8
_NDP_custom-call.477_0,1179648,2,1,1,64800,8
_NDP_custom-call.478_0,1572864,2,1,1,195320,9
_NDP_custom-call.479_0,1572864,2,1,1,195331,9
_NDP_custom-call.480_0,1179648,2,1,1,64719,8
_NDP_custom-call.481_0,1179648,2,1,1,64758,8
_NDP_custom-call.482_0,1179648,2,1,1,64607,8
_NDP_custom-call.483_0,1179648,2,1,1,64689,8
_NDP_custom-call.484_0,1179648,2,1,1,64629,8
_NDP_custom-call.485_0,1179648,2,1,1,64681,8
_NDP_custom-call.486_0,1179648,2,1,1,64593,8
_NDP_custom-call.487_0,1179648,2,1,1,64624,8
_NDP_custom-call.488_0,1179648,2,1,1,64037,8
_NDP_custom-call.489_0,1179648,2,1,1,64641,8
_NDP_custom-call.490_0,1179648,2,1,1,64620,8
_NDP_custom-call.491_0,1179648,2,1,1,64565,8
_NDP_custom-call.492_0,1179648,2,1,1,63309,8
_NDP_custom-call.493_0,1179648,2,1,1,64658,8
_NDP_custom-call.494_0,1179648,2,1,1,64683,8
_NDP_custom-call.495_0,1179648,2,1,1,64531,8
_NDP_custom-call.496_0,1179648,2,1,1,64629,8
_NDP_custom-call.497_0,1179648,2,1,1,64402,8
_NDP_custom-call.498_0,1179648,2,1,1,64641,8
_NDP_custom-call.499_0,1179648,2,1,1,64807,8
_NDP_custom-call.500_0,1179648,2,1,1,64796,8
_NDP_custom-call.501_0,1179648,2,1,1,64741,8
_NDP_custom-call.502_0,4718592,104,12,54,10658413,240
_NDP_custom-call.503_0,1179648,2,1,1,64824,8
_NDP_custom-call.504_0,1179648,2,1,1,64765,8
_NDP_custom-call.505_0,1179648,2,1,1,64703,8
_NDP_custom-call.506_0,1179648,2,1,1,64627,8
_NDP_custom-call.507_0,233472,19,1,11,63881,47
_NDP_custom-call.508_0,9280512,8,1,4,1734517,23
_NDP_custom-call.509_0,1572864,3,1,2,202568,12
_NDP_custom-call.510_0,4718592,2,1,1,258338,8
_NDP_custom-call.511_0,4718592,2,1,1,251286,8
_NDP_custom-call.512_0,4718592,2,1,1,257741,8
_NDP_custom-call.513_0,4718592,2,1,1,257489,8
_NDP_custom-call.514_0,4718592,2,1,1,256978,8
_NDP_custom-call.515_0,4718592,2,1,1,258407,8
_NDP_custom-call.516_0,4718592,2,1,1,258334,8
_NDP_custom-call.517_0,4718592,2,1,1,257782,8
_NDP_custom-call.518_0,4718592,2,1,1,257075,8
_NDP_custom-call.519_0,4718592,2,1,1,257602,8
_NDP_custom-call.520_0,4718592,2,1,1,257341,8
_NDP_custom-call.521_0,4718592,2,1,1,256961,8
_NDP_custom-call.522_0,4718592,2,1,1,252739,8
_NDP_custom-call.523_0,4718592,2,1,1,250748,8
_NDP_custom-call.524_0,4718592,2,1,1,252573,8
_NDP_custom-call.525_0,4718592,2,1,1,252630,8
_NDP_custom-call.526_0,4718592,2,1,1,252377,8
_NDP_custom-call.527_0,4718592,2,1,1,256751,8
_NDP_custom-call.528_0,4718592,2,1,1,257527,8
_NDP_custom-call.529_0,4718592,2,1,1,257789,8
_NDP_custom-call.530_0,4718592,2,1,1,257782,8
_NDP_custom-call.531_0,1572864,6,2,4,419270,22
_NDP_custom-call.532_0,1572864,21,2,13,698568,57
_NDP_custom-call.533_0,1179648,54,6,28,1205394,126
_NDP_custom-call.534_0,1572864,15,5,10,1158237,52
_NDP_custom-call.535_0,1572864,15,5,10,1194054,52
_NDP_custom-call.536_0,1536,111,12,61,5465,264
_NDP_custom-call.537_0,6144,108,12,58,9902,252
_NDP_custom-call.538_0,1536,129,14,70,4502,301
_NDP_custom-call.539_0,1536,231,23,126,NOT FOUND
_NDP_custom-call.540_0,32,23,4,20,830,67
