NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE
_NDP_custom-call.482_0,0x120000,1,1,1,53304
_NDP_custom-call.483_0,0x120000,1,1,1,53304
_NDP_custom-call.484_0,0x120000,1,1,1,53304
_NDP_custom-call.485_0,0x120000,1,1,1,53304
_NDP_custom-call.486_0,0x120000,1,1,1,53304
_NDP_custom-call.487_0,0x120000,1,1,1,53304
_NDP_custom-call.488_0,0x120000,1,1,1,53304
_NDP_custom-call.489_0,0x120000,1,1,1,53304
_NDP_custom-call.490_0,0x120000,1,1,1,53304
_NDP_custom-call.491_0,0x120000,1,1,1,53304
_NDP_custom-call.492_0,0x120000,1,1,1,53304
_NDP_custom-call.493_0,0x120000,1,1,1,53304
_NDP_custom-call.494_0,0x120000,1,1,1,53304
_NDP_custom-call.495_0,0x120000,1,1,1,53308
_NDP_custom-call.496_0,0x120000,1,1,1,53304
_NDP_custom-call.497_0,0x180000,1,1,2,191156
_NDP_custom-call.498_0,0x480000,20,12,54,0
_NDP_custom-call.499_0,0x480000,20,12,54,0
_NDP_custom-call.500_0,0x120000,1,1,1,53304
_NDP_custom-call.501_0,0x180000,1,1,2,191259
_NDP_custom-call.502_0,0x180000,1,1,2,191303
_NDP_custom-call.503_0,0x600000,4,3,9,0
_NDP_custom-call.504_0,0x600000,5,4,12,0
_NDP_custom-call.505_0,0x39000,6,1,11,14250
_NDP_custom-call.506_0,0x180000,2,1,3,196176
_NDP_custom-call.507_0,0x8d9c00,3,1,5,0
_NDP_custom-call.508_0,0x480000,1,1,1,212901
_NDP_custom-call.509_0,0x480000,1,1,1,220971
_NDP_custom-call.510_0,0x480000,1,1,1,212320
_NDP_custom-call.511_0,0x480000,1,1,1,222047
_NDP_custom-call.512_0,0x480000,1,1,1,224116
_NDP_custom-call.513_0,0x480000,1,1,1,212762
_NDP_custom-call.514_0,0x480000,1,1,1,212301
_NDP_custom-call.515_0,0x480000,1,1,1,218832
_NDP_custom-call.516_0,0x480000,1,1,1,212304
_NDP_custom-call.517_0,0x480000,1,1,1,215572
_NDP_custom-call.518_0,0x480000,1,1,1,212661
_NDP_custom-call.519_0,0x480000,1,1,1,212305
_NDP_custom-call.520_0,0x480000,1,1,1,212305
_NDP_custom-call.521_0,0x480000,1,1,1,220988
_NDP_custom-call.522_0,0x480000,1,1,1,220990
_NDP_custom-call.523_0,0x480000,1,1,1,212308
_NDP_custom-call.524_0,0x480000,1,1,1,0
_NDP_custom-call.525_0,0x480000,1,1,1,217030
_NDP_custom-call.526_0,0x480000,1,1,1,218227
_NDP_custom-call.527_0,0x480000,1,1,1,0
_NDP_custom-call.528_0,0x480000,1,1,1,212930
_NDP_custom-call.529_0,0x180000,5,2,15,0
_NDP_custom-call.530_0,0x120000,12,6,28,0
_NDP_custom-call.531_0,0x180000,4,3,9,0
_NDP_custom-call.532_0,0x180000,6,5,15,0
_NDP_custom-call.533_0,0x600,20,12,64,1748
_NDP_custom-call.534_0,0x1800,20,12,58,3721
_NDP_custom-call.535_0,0x600,24,14,70,1575
_NDP_custom-call.536_0,0x20,9,4,24,559
